instrument,datetime,field,value
ETH-USD,2017-11-30,$ema26,390.8752591700952
ETH-USD,2017-11-30,$macd,36.31007887667607
ETH-USD,2017-11-30,$macd_signal,29.843060905475838
ETH-USD,2017-11-30,$macd_hist,6.467017971200235
ETH-USD,2017-11-30,$vwap,395.9017720526175
ETH-USD,2017-12-01,$open,445.2090148925781
ETH-USD,2017-12-01,$high,472.6090087890625
ETH-USD,2017-12-01,$low,428.31201171875
ETH-USD,2017-12-01,$close,466.5400085449219
ETH-USD,2017-12-01,$volume,1247879936.0
ETH-USD,2017-12-01,$ma5,
ETH-USD,2017-12-01,$ma10,
ETH-USD,2017-12-01,$ma20,
ETH-USD,2017-12-01,$ma30,
ETH-USD,2017-12-01,$ma60,
ETH-USD,2017-12-01,$ma120,
ETH-USD,2017-12-01,$ema5,454.907598970798
ETH-USD,2017-12-01,$ema10,440.17974914806086
ETH-USD,2017-12-01,$ema20,409.46035175192884
ETH-USD,2017-12-01,$ema60,361.2947539742506
ETH-USD,2017-12-01,$ema12,433.23990273879446
ETH-USD,2017-12-01,$ema26,396.48005542008235
ETH-USD,2017-12-01,$macd,36.759847318712104
ETH-USD,2017-12-01,$macd_signal,31.22641818812309
ETH-USD,2017-12-01,$macd_hist,5.533429130589013
ETH-USD,2017-12-01,$vwap,398.552726979261
ETH-USD,2017-12-02,$open,466.85101318359375
ETH-USD,2017-12-02,$high,476.239013671875
ETH-USD,2017-12-02,$low,456.65301513671875
ETH-USD,2017-12-02,$close,463.4490051269531
ETH-USD,2017-12-02,$volume,943649984.0
ETH-USD,2017-12-02,$ma5,
ETH-USD,2017-12-02,$ma10,
ETH-USD,2017-12-02,$ma20,
ETH-USD,2017-12-02,$ma30,
ETH-USD,2017-12-02,$ma60,
ETH-USD,2017-12-02,$ma120,
ETH-USD,2017-12-02,$ema5,457.75473435618306
ETH-USD,2017-12-02,$ema10,444.4105229624049
ETH-USD,2017-12-02,$ema20,414.60212826383594
ETH-USD,2017-12-02,$ema60,364.6440736841753
ETH-USD,2017-12-02,$ema12,437.88745695235735
ETH-USD,2017-12-02,$ema26,401.440718361332
ETH-USD,2017-12-02,$macd,36.44673859102534
ETH-USD,2017-12-02,$macd_signal,32.27048226870354
ETH-USD,2017-12-02,$macd_hist,4.176256322321798
ETH-USD,2017-12-02,$vwap,400.71831524665686
ETH-USD,2017-12-03,$open,463.7049865722656
ETH-USD,2017-12-03,$high,482.8139953613281
ETH-USD,2017-12-03,$low,451.85198974609375
ETH-USD,2017-12-03,$close,465.8529968261719
ETH-USD,2017-12-03,$volume,990556992.0
ETH-USD,2017-12-03,$ma5,
ETH-USD,2017-12-03,$ma10,
ETH-USD,2017-12-03,$ma20,
ETH-USD,2017-12-03,$ma30,
ETH-USD,2017-12-03,$ma60,
ETH-USD,2017-12-03,$ma120,
ETH-USD,2017-12-03,$ema5,460.4541551795127
ETH-USD,2017-12-03,$ema10,448.30915457399885
ETH-USD,2017-12-03,$ema20,419.4831633650108
ETH-USD,2017-12-03,$ema60,367.96239903309316
ETH-USD,2017-12-03,$ema12,442.189847702175
ETH-USD,2017-12-03,$ema26,406.21199824761646
ETH-USD,2017-12-03,$macd,35.97784945455851
ETH-USD,2017-12-03,$macd_signal,33.011955705874534
ETH-USD,2017-12-03,$macd_hist,2.9658937486839747
ETH-USD,2017-12-03,$vwap,402.8914362014992
ETH-USD,2017-12-04,$open,466.0539855957031
ETH-USD,2017-12-04,$high,474.7770080566406
ETH-USD,2017-12-04,$low,453.31201171875
ETH-USD,2017-12-04,$close,470.2040100097656
ETH-USD,2017-12-04,$volume,1005550016.0
ETH-USD,2017-12-04,$ma5,
ETH-USD,2017-12-04,$ma10,
ETH-USD,2017-12-04,$ma20,
ETH-USD,2017-12-04,$ma30,
ETH-USD,2017-12-04,$ma60,
ETH-USD,2017-12-04,$ma120,
ETH-USD,2017-12-04,$ema5,463.70410678959706
ETH-USD,2017-12-04,$ema10,452.2900373805019
ETH-USD,2017-12-04,$ema20,424.31372018832076
ETH-USD,2017-12-04,$ema60,371.3145829995414
ETH-USD,2017-12-04,$ema12,446.49971882641967
ETH-USD,2017-12-04,$ema26,410.95214726703495
ETH-USD,2017-12-04,$macd,35.54757155938472
ETH-USD,2017-12-04,$macd_signal,33.51907887657657
ETH-USD,2017-12-04,$macd_hist,2.0284926828081495
ETH-USD,2017-12-04,$vwap,404.93210928156356
ETH-USD,2017-12-05,$open,470.29400634765625
ETH-USD,2017-12-05,$high,473.5580139160156
ETH-USD,2017-12-05,$low,457.6600036621094
ETH-USD,2017-12-05,$close,463.281005859375
ETH-USD,2017-12-05,$volume,1216720000.0
ETH-USD,2017-12-05,$ma5,
ETH-USD,2017-12-05,$ma10,
ETH-USD,2017-12-05,$ma20,
ETH-USD,2017-12-05,$ma30,
ETH-USD,2017-12-05,$ma60,
ETH-USD,2017-12-05,$ma120,
ETH-USD,2017-12-05,$ema5,463.56307314618977
ETH-USD,2017-12-05,$ema10,454.2883952857515
ETH-USD,2017-12-05,$ema20,428.0248902522307
ETH-USD,2017-12-05,$ema60,374.32987555232285
ETH-USD,2017-12-05,$ema12,449.08145529302817
ETH-USD,2017-12-05,$ema26,414.82835901461567
ETH-USD,2017-12-05,$macd,34.2530962784125
ETH-USD,2017-12-05,$macd_signal,33.66588235694376
